Date,Value
2019-01-31,284900.0
2018-12-31,285000.0
2018-11-30,289900.0
2018-10-31,295600.0
2018-09-30,299900.0
2018-08-31,291900.0
2018-07-31,287500.0
2018-06-30,275000.0
2018-05-31,278375.0
2018-04-30,274950.0
2018-03-31,269100.0
2018-02-28,266924.0
2018-01-31,235000.0
2017-12-31,238009.0
2017-11-30,242500.0
2017-10-31,234900.0
2017-09-30,235000.0
2017-08-31,246750.0
2017-07-31,224962.0
2017-06-30,220000.0
2017-05-31,224924.0
2017-04-30,217765.5
2017-03-31,217342.5
2017-02-28,216742.5
2017-01-31,214900.0
2016-12-31,200000.0
2016-11-30,199900.0
2016-10-31,214950.0
2016-09-30,219850.0
2016-08-31,212185.0
2016-07-31,210000.0
2016-06-30,220000.0
2016-05-31,220000.0
2016-04-30,199700.0
2016-03-31,195500.0
2016-02-29,189450.0
2016-01-31,189000.0
2015-12-31,199500.0
2015-11-30,199987.5
2015-10-31,199000.0
2015-09-30,196000.0
2015-08-31,189344.0
2015-07-31,183200.0
2015-06-30,185900.0
2015-05-31,184900.0
2015-04-30,185375.0
2015-03-31,181090.0
2015-02-28,177900.0
2015-01-31,175000.0
2014-12-31,174900.0
2014-11-30,170000.0
2014-10-31,174300.0
2014-09-30,175000.0
2014-08-31,179900.0
2014-07-31,179900.0
2014-06-30,181300.0
2014-05-31,179900.0
2014-04-30,176100.0
2014-03-31,178963.5
2014-02-28,177456.5
2014-01-31,175000.0
2013-12-31,174900.0
2013-11-30,174150.0
2013-10-31,174900.0
2013-09-30,169500.0
2013-08-31,167150.0
2013-07-31,166250.0
2013-06-30,165000.0
2013-05-31,164900.0
2013-04-30,164900.0
2013-03-31,159000.0
2013-02-28,159900.0
2013-01-31,164950.0
2012-12-31,174900.0
2012-11-30,174000.0
2012-10-31,172200.0
2012-09-30,172500.0
2012-08-31,169900.0
2012-07-31,168400.0
2012-06-30,169500.0
2012-05-31,167800.0
2012-04-30,165000.0
2012-03-31,162000.0
2012-02-29,159900.0
2012-01-31,161950.0
2011-12-31,161950.0
2011-11-30,162000.0
2011-10-31,159900.0
2011-09-30,162000.0
2011-08-31,159900.0
2011-07-31,159900.0
2011-06-30,165000.0
2011-05-31,165000.0
2011-04-30,165000.0
2011-03-31,169900.0
2011-02-28,169900.0
2011-01-31,169900.0
2010-12-31,170000.0
2010-11-30,176250.0
2010-10-31,178750.0
2010-09-30,179000.0
2010-08-31,179900.0
2010-07-31,179900.0
2010-06-30,182500.0
2010-05-31,182500.0
2010-04-30,183500.0
2010-03-31,184900.0
2010-02-28,189900.0
2010-01-31,189500.0
